    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 1
     CONTRACT:  CTIB 2026                                   Date: 05.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    b/34      HEA450        1     S235JR         2471       5.0       345.3
    b/35      HEA450        2     S235JR         2484       5.0       347.1
    b/37      HEA450        1     S235JR         8322      16.7      1162.8
    b/38      IPE450        1     S235JR         8115      13.0       629.4
    b/39      IPE450        1     S235JR         6885      11.1       534.0
    b/40      IPE450        1     S235JR         6304      10.1       488.9
    b/41      IPE450        1     S235JR         8836      14.2       685.3
    b/42      IPE450        1     S235JR         6301      10.1       488.7
    b/43      IPE240        1     S235JR         6194       5.7       190.1
    b/44      IPE240        1     S235JR         6467       6.0       198.4
    b/45      IPE240        1     S235JR         6720       6.2       206.2
    b/46      IPE240        1     S235JR         6789       6.3       208.3
    b/47      IPE240        1     S235JR         6844       6.3       210.0
    b/48      IPE240        1     S235JR         6781       6.3       208.1
    b/49      IPE240        1     S235JR         6608       6.1       202.8
    b/50      IPE240        1     S235JR         6434       5.9       197.4
    b/51      IPE240        2     S235JR         6192       5.7       190.0
    b/52      IPE240        2     S235JR         6302       5.8       193.4
    b/53      IPE240        3     S235JR         6302       5.8       193.4
    b/54      IPE300        1     S235JR         8832      10.2       373.0
    b/55      IPE300        1     S235JR         8819      10.2       372.5
    b/56      IPE300        1     S235JR         8512       9.9       359.5
    b/57      IPE300        1     S235JR         8350       9.7       352.6
